7.86,969.339,123.753,-20.909,0
7.91,975.501,122.711,-20.732,0
7.96,981.61,121.68,-20.511,0
8.01,987.669,120.661,-20.228,0
8.06,993.677,119.657,-19.991,0
8.11,999.635,118.661,-19.843,0
8.16,1005.543,117.672,-19.708,0
8.21,1011.402,116.691,-19.544,0
8.26,1017.212,115.718,-19.354,0
8.31,1022.974,114.755,-19.17,0
8.36,1028.688,113.8,-19.034,0
8.41,1034.354,112.853,-18.864,0
8.46,1039.973,111.913,-18.703,0
8.51,1045.546,110.983,-18.538,0
8.56,1051.072,110.059,-18.402,0
8.61,1056.552,109.142,-18.266,0
8.66,1061.986,108.232,-18.126,0
8.71,1067.375,107.33,-17.954,0
8.76,1072.719,106.437,-17.799,0
8.81,1078.019,105.55,-17.65,0
8.86,1083.274,104.671,-17.523,0
8.91,1088.486,103.798,-17.403,0
8.96,1093.654,102.931,-17.255,0
9.01,1098.779,102.073,-17.108,0
9.06,1103.862,101.22,-16.985,0
9.11,1108.901,100.374,-16.879,0
9.16,1113.899,99.533,-16.758,0
9.21,1118.855,98.698,-16.629,0
9.26,1123.769,97.869,-16.527,0
9.31,1128.642,97.046,-16.41,0
9.36,1133.474,96.228,-16.293,0
9.41,1138.265,95.417,-16.154,0
9.46,1143.015,94.613,-15.998,0
9.51,1147.726,93.816,-15.895,0
9.56,1152.397,93.024,-15.793,0
9.61,1157.029,92.236,-15.735,0
9.66,1161.621,91.451,-15.666,0
9.71,1166.174,90.67,-15.563,0
9.76,1170.688,89.895,-15.427,0
9.81,1175.163,89.127,-15.287,0
9.86,1179.601,88.366,-15.18,0
9.91,1184,87.609,-15.101,0
9.96,1188.362,86.857,-14.978,0
10.01,1192.686,86.11,-14.897,0
10.06,1196.973,85.367,-14.821,0
10.11,1201.223,84.628,-14.759,0
10.16,1205.435,83.89,-14.734,0
10.21,1209.612,83.155,-14.662,0
10.26,1213.751,82.424,-14.559,0
10.31,1217.854,81.699,-14.445,0
10.36,1221.921,80.981,-14.292,0
10.41,1225.952,80.269,-14.19,0
10.46,1229.948,79.562,-14.107,0
10.51,1233.909,78.859,-14.013,0
10.56,1237.834,78.16,-13.945,0
10.61,1241.725,77.464,-13.884,0
10.66,1245.58,76.771,-13.842,0
10.71,1249.402,76.08,-13.807,0
10.76,1253.188,75.39,-13.776,0
10.81,1256.941,74.703,-13.716,0
10.86,1260.659,74.019,-13.623,0
10.91,1264.343,73.342,-13.479,0
10.96,1267.993,72.67,-13.406,0
11.01,1271.61,72.001,-13.32,0
11.06,1275.193,71.338,-13.22,0
11.11,1278.744,70.679,-13.146,0
11.16,1282.261,70.023,-13.086,0
11.21,1285.746,69.371,-13.018,0
11.26,1289.198,68.721,-12.987,0
11.31,1292.618,68.072,-12.956,0
11.36,1296.006,67.425,-12.928,0
11.41,1299.361,66.78,-12.877,0
11.46,1302.684,66.137,-12.84,0
11.51,1305.974,65.496,-12.783,0
11.56,1309.233,64.858,-12.72,0
11.61,1312.46,64.224,-12.649,0
11.66,1315.656,63.594,-12.576,0
11.71,1318.82,62.967,-12.493,0
11.76,1321.952,62.344,-12.402,0
11.81,1325.054,61.726,-12.329,0
11.86,1328.125,61.112,-12.261,0
11.91,1331.165,60.5,-12.199,0
11.96,1334.175,59.891,-12.158,0
12.01,1337.155,59.284,-12.135,0
12.06,1340.104,58.678,-12.102,0
12.11,1343.022,58.074,-12.077,0
12.16,1345.911,57.47,-12.051,0
12.21,1348.769,56.869,-12.015,0
12.26,1351.598,56.268,-12.004,0
12.31,1354.396,55.669,-11.975,0
12.36,1357.165,55.071,-11.933,0
12.41,1359.903,54.476,-11.862,0
12.46,1362.612,53.884,-11.811,0
12.51,1365.292,53.295,-11.764,0
12.56,1367.942,52.708,-11.713,0
12.61,1370.563,52.123,-11.672,0
12.66,1373.154,51.541,-11.612,0
12.71,1375.717,50.961,-11.569,0
12.76,1378.25,50.385,-11.488,0
12.81,1380.755,49.812,-11.421,0
12.86,1383.232,49.243,-11.364,0
12.91,1385.68,48.675,-11.336,0
12.96,1388.099,48.109,-11.315,0
13.01,1390.491,47.544,-11.283,0
13.06,1392.854,46.981,-11.232,0
13.11,1395.189,46.421,-11.201,0
13.16,1397.496,45.861,-11.181,0
13.21,1399.775,45.302,-11.171,0
13.26,1402.026,44.744,-11.161,0
13.31,1404.249,44.187,-11.128,0
13.36,1406.445,43.631,-11.111,0
13.41,1408.612,43.076,-11.087,0
